student_id,reg_no,name,dob,gender,entry_gpa,socio_econ
1,23BDS0264,Vijay VS,2006-10-07,O,7.45,mid
2,23BDS1002,Noah Rhodes,2007-07-27,M,6.88,mid
3,23BDS1003,Angie Henderson,2007-03-17,M,7.58,high
4,23BDS1004,Daniel Wagner,2007-12-10,O,8.37,mid
5,23BDS1005,Cristian Santos,2006-01-29,F,6.79,low
6,23BDS1006,Connie Lawrence,2005-07-26,M,6.79,mid
7,23BDS1007,Abigail Shaffer,2006-07-14,M,8.42,high
8,23BDS1008,Gina Moore,2004-08-28,M,7.69,mid
9,23BDS1009,Gabrielle Davis,2005-03-02,O,6.58,high
10,23BDS1010,Ryan Munoz,2006-09-21,M,7.49,high
11,23BDS1011,Monica Herrera,2008-06-01,O,6.58,high
12,23BDS1012,Jamie Arnold,2002-05-21,O,6.58,mid
13,23BDS1013,Lisa Hensley,2001-05-02,O,7.22,low
14,23BDS1014,Michele Williams,2005-11-18,M,5.28,mid
15,23BDS1015,Dylan Miller,2001-06-02,O,5.45,high
16,23BDS1016,Brian Ramirez,2001-04-20,F,6.49,mid
17,23BDS1017,Holly Wood,2004-05-12,M,6.09,mid
18,23BDS1018,Derek Zuniga,2003-02-18,M,7.28,mid
19,23BDS1019,Lisa Jackson,2003-08-05,M,6.18,high
20,23BDS1020,Carla Gray,2004-09-30,M,5.73,high
21,23BDS1021,Margaret Hawkins DDS,2000-11-27,M,8.32,mid
22,23BDS1022,Patty Perez,2004-12-29,O,6.8,mid
23,23BDS1023,Ethan Adams,2002-01-12,O,7.06,mid
24,23BDS1024,Tommy Walter,2002-09-17,M,5.72,low
25,23BDS1025,Matthew Foster,2006-02-15,O,6.51,high
26,23BDS1026,Judy Baker,2001-02-17,M,7.1,low
27,23BDS1027,Justin Baker,2001-02-13,O,5.96,high
28,23BDS1028,Stephanie Ross,2002-08-22,O,7.34,mid
29,23BDS1029,Zachary Hicks,2000-03-12,O,6.46,low
30,23BDS1030,Anthony Rodriguez,2008-02-17,O,6.74,mid
31,23BDS1031,Rebecca Henderson,2005-04-12,F,6.46,low
32,23BDS1032,James Ferrell,2005-09-11,M,8.67,mid
33,23BDS1033,Tricia Valencia,2004-02-25,F,6.99,high
34,23BDS1034,Nathan Maldonado,2004-11-21,O,6.05,mid
35,23BDS1035,Debra Davidson,2002-12-17,F,7.74,high
36,23BDS1036,Jeffrey Chavez,2006-10-17,M,5.9,mid
37,23BDS1037,Sherri Baker,2002-08-07,M,7.19,mid
38,23BDS1038,Cassandra Gaines,2001-09-19,O,5.24,high
39,23BDS1039,Elizabeth Fowler,2001-05-23,F,5.8,high
